
jayan@node-0:~/alexnet$ python -m AlexNet.scripts.train --mode single --dataset flowers --batch_num 10000
WARNING:tensorflow:From /usr/local/lib/python2.7/dist-packages/tensorflow/python/training/input.py:187: __init__ (from tensorflow.python.training.queue_runner_impl) is deprecated and will be removed in a future version.
Instructions for updating:
To construct input pipelines, use the `tf.data` module.
WARNING:tensorflow:From /usr/local/lib/python2.7/dist-packages/tensorflow/python/training/input.py:187: add_queue_runner (from tensorflow.python.training.queue_runner_impl) is deprecated and will be removed in a future version.
Instructions for updating:
To construct input pipelines, use the `tf.data` module.
Tensor("Size:0", shape=(), dtype=int32, device=/job:worker/task:0)
Tensor("Size_1:0", shape=(), dtype=int32, device=/job:worker/task:0)
Input batch shape: images: (32, 256, 256, 3) labels: (32,)
num_classes: 5
total_num_examples: 320000
flowers_data/parallel_read/filenames
flowers_data/parallel_read/common_queue
flowers_data/batch/fifo_queue
2018-10-15 17:57:43.630450: I tensorflow/core/distributed_runtime/master_session.cc:1161] Start master session f4afb32522d170fc with config: allow_soft_placement: true
WARNING:tensorflow:From /users/jayan/alexnet/AlexNet/scripts/train.py:160: start_queue_runners (from tensorflow.python.training.queue_runner_impl) is deprecated and will be removed in a future version.
Instructions for updating:
To construct input pipelines, use the `tf.data` module.
44 threads started for queue
2018-10-15 17:57:49.296861: step 0, loss = 3.91 (10.2 examples/sec; 3.144 sec/batch)
2018-10-15 17:57:52.274277: step 1, loss = 6.70 (13.3 examples/sec; 2.398 sec/batch)
2018-10-15 17:57:54.737282: step 2, loss = 6.87 (13.0 examples/sec; 2.459 sec/batch)
2018-10-15 17:57:57.174683: step 3, loss = 9.61 (13.1 examples/sec; 2.435 sec/batch)
2018-10-15 17:57:59.601398: step 4, loss = 6.65 (13.2 examples/sec; 2.423 sec/batch)
2018-10-15 17:58:01.944081: step 5, loss = 9.53 (13.7 examples/sec; 2.339 sec/batch)
2018-10-15 17:58:04.272656: step 6, loss = 8.34 (13.8 examples/sec; 2.325 sec/batch)
2018-10-15 17:58:06.755972: step 7, loss = 6.97 (12.9 examples/sec; 2.480 sec/batch)
2018-10-15 17:58:09.222578: step 8, loss = 6.25 (13.0 examples/sec; 2.461 sec/batch)
^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A^[[A2018-10-15 17:58:11.741419: step 9, loss = 7.19 (12.7 examples/sec; 2.517 sec/batch)
2018-10-15 17:58:14.222140: step 10, loss = 5.46 (12.9 examples/sec; 2.477 sec/batch)
2018-10-15 17:58:16.617141: step 11, loss = 4.39 (13.4 examples/sec; 2.393 sec/batch)
2018-10-15 17:58:18.952243: step 12, loss = 5.50 (13.7 examples/sec; 2.332 sec/batch)
2018-10-15 17:58:21.217656: step 13, loss = 7.18 (14.2 examples/sec; 2.261 sec/batch)
2018-10-15 17:58:23.479803: step 14, loss = 5.79 (14.2 examples/sec; 2.258 sec/batch)
2018-10-15 17:58:25.775318: step 15, loss = 6.08 (14.0 examples/sec; 2.291 sec/batch)
2018-10-15 17:58:27.997470: step 16, loss = 4.22 (14.4 examples/sec; 2.218 sec/batch)
2018-10-15 17:58:30.260029: step 17, loss = 3.71 (14.2 examples/sec; 2.258 sec/batch)
2018-10-15 17:58:32.505820: step 18, loss = 4.82 (14.3 examples/sec; 2.241 sec/batch)
2018-10-15 17:58:34.724410: step 19, loss = 4.94 (14.5 examples/sec; 2.214 sec/batch)
2018-10-15 17:58:36.920282: step 20, loss = 4.92 (14.6 examples/sec; 2.191 sec/batch)
2018-10-15 17:58:39.183548: step 21, loss = 4.09 (14.2 examples/sec; 2.259 sec/batch)
2018-10-15 17:58:41.483234: step 22, loss = 4.42 (13.9 examples/sec; 2.295 sec/batch)
2018-10-15 17:58:43.724740: step 23, loss = 4.05 (14.3 examples/sec; 2.237 sec/batch)
2018-10-15 17:58:46.021282: step 24, loss = 4.03 (14.0 examples/sec; 2.293 sec/batch)
2018-10-15 17:58:48.310388: step 25, loss = 3.60 (14.0 examples/sec; 2.284 sec/batch)
2018-10-15 17:58:50.549472: step 26, loss = 4.61 (14.3 examples/sec; 2.235 sec/batch)
